commodity,unit,minimum_price_raw,maximum_price_raw,average_price_raw,market,price_date,source,source_url,collected_at
गोलभेडा ठूलो(नेपाली),के.जी.,रू ४०.००,रू ५०.००,रू ४४.३८,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
गोलभेडा सानो(टनेल),के जी,रू २०.००,रू ३०.००,रू २४.३८,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
आलु रातो(लाम्चो),के.जी.,रू ४८.००,रू ५२.००,रू ४९.८३,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
रातो आलु(गोलो),के जी,रू ४८.००,रू ५३.००,रू ५०.३३,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
आलु रातो(मुडे),केजी,रू ४८.००,रू ५३.००,रू ५०.६७,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
आलु रातो(भारतीय),के जी,रू ३३.००,रू ५७.००,रू ४२.३३,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
आलु सेतो,के.जी.,रू ३०.००,रू ३५.००,रू ३३.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
प्याज सुकेको (भारतीय),के.जी.,रू ५४.००,रू ५७.००,रू ५५.६७,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
गाजर(लोकल),के.जी.,रू १००.००,रू ११०.००,रू १०५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
गाजर(तराई),केजी,रू ७०.००,रू ८०.००,रू ७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
बन्दा(लोकल),के.जी.,रू २०.००,रू ३०.००,रू २६.२५,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
काउली स्थानिय,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
मूला रातो,के.जी.,रू २०.००,रू ३०.००,रू २५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
मूला सेतो(लोकल),के.जी.,रू १५.००,रू २०.००,रू १७.५०,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
भन्टा लाम्चो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
भन्टा डल्लो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
बोडी(तने),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
मकै बोडी,केजी,रू ८०.००,रू ९०.००,रू ८५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
घिउ सिमी(लोकल),के.जी.,रू १००.००,रू १२०.००,रू १०८.३३,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
घिउ सिमी(हाइब्रीड),केजी,रू ९०.००,रू १००.००,रू ९७.५०,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
घिउ सिमी(राजमा),केजी,रू १३०.००,रू १५०.००,रू १४०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
टाटे सिमी,के.जी.,रू १००.००,रू १२०.००,रू ११०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
भटमासकोशा,के.जी.,रू ८०.००,रू १००.००,रू ९०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
तितो करेला,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
लौका,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
परवर(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
परवर(तराई),केजी,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
चिचिण्डो,के.जी.,रू २०.००,रू ३०.००,रू २६.२५,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
घिरौला,के.जी.,रू ५०.००,रू ६०.००,रू ५४.१७,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
झिगूनी,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
फर्सी पाकेको,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
हरियो फर्सी(डल्लो),केजी,रू ७०.००,रू ८०.००,रू ७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
भिण्डी,के.जी.,रू ४०.००,रू ५०.००,रू ४३.७५,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
सखरखण्ड,के.जी.,रू १००.००,रू १२०.००,रू ११०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
पिंडालू,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
स्कूस,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
रायो साग,के.जी.,रू १५०.००,रू २००.००,रू १७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
पालूगो साग,के.जी.,रू १५०.००,रू २००.००,रू १७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
तोरीको साग,के.जी.,रू १००.००,रू १५०.००,रू १२५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
प्याज हरियो,के.जी.,रू १००.००,रू १५०.००,रू १२५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
च्याउ(कन्य),के.जी.,रू २४०.००,रू २८०.००,रू २६०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
च्याउ(डल्ले),के जी,रू ४५०.००,रू ५००.००,रू ४७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
राजा च्याउ,के.जी.,रू ३००.००,रू ३२०.००,रू ३१०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
कुरीलो,के.जी.,रू ४००.००,रू ५००.००,रू ४५०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
